label	tagged_in_context
flag_waving	Thousands of <BOS> U.S. dead <EOS>, tens of thousands of wounded, trillions of dollars sunk, and a Mideast awash in blood from Afghanistan to Iraq, Libya, Syria and Yemen, with millions uprooted and homeless. 
not_propaganda	(The Dutch media now claim that one of them doesn’t depict <BOS> Muslim <EOS> migrants being violent, as was claimed. 
appeal_to_fear_prejudice	<BOS> Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews <EOS>. 
appeal_to_fear_prejudice	<BOS> Putting aside freedom of speech, the persecution of this man has been something that should horrify all free-thinking people. If it doesn’t horrify us, then we have surrendered something very valuable <EOS>. 
not_propaganda	She <BOS> is <EOS> calling for an Israeli/Palestinian state that would not be a Jewish State or a homeland for the Jewish people, but a federation in which Palestinians would soon overwhelm Jews demographically. 
not_propaganda	“Motive a mystery in car explosion at Travis Air Force Base,” by Phil Willon, Los Angeles Times, March 23, <BOS> 2018: <EOS> 
causal_oversimplification	Whosoever shall shed man’s blood, his blood shall be shed: for man was made to the image of God.” In other words, <BOS> from that point in history lawful killing in atonement for taking the life of another is sanctioned by God <EOS>. 
not_propaganda	Elizabeth Yore is an attorney <BOS> who has investigated clerical sex <EOS> abuse cases. 
flag_waving	Thanks to President Trump and the CIA’s decision <BOS> to continue keeping 98 percent of the CIA’s decades-long secret records secret from the American people <EOS>, the CIA’s cunning cover-up of the JFK assassination continues to work brilliantly today. 
not_propaganda	Frings, Archbishop of <BOS> Cologne. <EOS> 
flag_waving	Where is that authorized in <BOS> our Constitution <EOS>? 
causal_oversimplification	While the establishment continues to push the notion that <BOS> a couple hundred thousand dollars of ad spends and some Russian bots on Facebook swayed the election to Donald Trump <EOS>, more proof of real “collusion” between Google and the Hillary Clinton campaign has been uncovered. 
exaggeration,minimisation	Britain took part in an investigation which determined that Julian was a political refugee and that <BOS> a great miscarriage of justice <EOS> had been imposed on him. 
loaded_language	This is why it is so <BOS> heinous <EOS>.” 
causal_oversimplification	<BOS> The last-minute accusations from Christine Blasey Ford, a woman who claims that decades ago Kavanaugh groped her at a high school party, and Deborah Ramirez, who accused Kavanaugh of exposing himself to her at a frat party at Yale, are transparent acts of aggression against the judge and Republicans, one engineered by the Democrats <EOS>. 
doubt	I said that <BOS> the reason I dropped the “J” word was because you haven’t in 40 years <EOS> (Romans 1:16). 
appeal_to_fear_prejudice	In a letter to the Australian prime minister, Malcolm Turnbull, Julian’s father, John Shipton, wrote: “I ask the prime minister <BOS> to do all within his power to return Julian home before Julian’s situation becomes an irreversible tragedy <EOS>.” That is why this is such an urgent case of justice toward a single human being as well as a case of a journalistic organization’s right to function and our right to have the information it provides. 
not_propaganda	They practiced <BOS> sauvage <EOS> intercommunion. 
not_propaganda	<BOS> The <EOS> first version read: 
not_propaganda	Founded in 1974, The Foundation has grown to more than 600,000 members and supporters <BOS> and conducts many programs designed to better inform the public <EOS> about the consequences of gun control. 
not_propaganda	Even though Senator Feinstein had the <BOS> letter in hand, she never <EOS> brought up the charge during the public hearing, nor during her own meeting with the judge. 
not_propaganda	One hundred thousand <BOS> persons were killed in <EOS> Fez on that occasion, and 120,000 in Marrakesh. 
not_propaganda	Ninety-two percent of individuals removed from the interior of the United States had previously been convicted of a criminal <BOS> offense. <EOS> 
name_calling,labeling	<BOS> Deep State DOJ tool <EOS> Rod Rosenstein refuses to comply with Trump’s executive order as afforded him by the US Constitution. 
not_propaganda	<BOS> Why? <EOS> 
not_propaganda	As expected, at today’s hearing Kavanaugh will firmly <BOS> rebut the increasingly outrageous claims <EOS> being leveled at him. 
doubt	<BOS> His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas <EOS>. 
name_calling,labeling	In an op-ed published several years ago by The Los Angeles Times, two members of Veteran Intelligence Professionals for Sanity, Coleen Rowley and Bogdan Dzakovic, pointed out that — If WikiLeaks had been up and running before 9/11 — <BOS> frustrated FBI investigators <EOS> might have chosen to leak information that their superiors bottled up, perhaps averting the terrorism attacks. 
not_propaganda	Simply expressing support for a terrorist organization or attack is <BOS> not against the <EOS> law. 
exaggeration,minimisation	This is clearly the testimony of an honest man who has only the good of the Church in his heart—a modern-day Athanasius <BOS> standing against something so much worse than Liberius <EOS>. 
not_propaganda	<BOS> In Asia, preserving ‘face’ is essential. <EOS> 
appeal_to_fear_prejudice	But experts now warn that because they are being used so much to treat the infection, <BOS> antibiotics resistance is inevitable <EOS> and making this disease much more terrifying. 
not_propaganda	In addition to securing the Gulf, the 5th Fleet serves as a constant <BOS> reminder to the Iranians of <EOS> their impotence. 
not_propaganda	* Dianne Feinstein <BOS> Maxine Waters Adam Schiff Chuck Schumer Kamala Harris Kirsten <EOS> Gillibrand Keith Ellison Cory Booker 
name_calling,labeling	About the clip, on Facebook, Zakkout wrote above it, “Makes a lot of sense!” Of course, this is coming from someone [Zakkout] who regularly refers to Jews as “<BOS> monkeys and pigs <EOS>,” and in February 2016, circulated on social media a report claiming that “the Holocaust was faked.” The report calls the Holocaust “the biggest lie ever foisted upon humanity” and was produced by a media outlet which describes Hitler as “the greatest leader in modern Western history.” 
doubt	It’s also the case that the more negative information comes out, the more it appears that the <BOS> Trump and his White House staff failed to do their jobs <EOS> in vetting and managing Kavanaugh. 
causal_oversimplification	<BOS> To eradicate these, Muslims are required to wage war until there exists none of it in the world, and the only religion is that of Allah <EOS>. 
not_propaganda	Unlike McFarland, Habib <BOS> Powell had <EOS> no national security background. 
not_propaganda	Will Brett Kavanaugh be confirmed to the Supreme <BOS> Court? <EOS> 
appeal_to_fear_prejudice	<BOS> This is a matter of life and death, and any complacency towards Islam is treasonous. We do not wish the West to continue with Islamization, nor that your actions contribute to it <EOS>. 
name_calling,labeling	We have previously shown that the Guardian even uses <BOS> fascist propaganda tropes <EOS> to smear the Russian people. 
appeal_to_fear_prejudice	<BOS> Unless and until we take seriously our call to sanctity, we, as an institution and as individuals, will continue to suffer the “wages of sin <EOS>.” 
causal_oversimplification	<BOS> If one considers and weighs this matter, one knows: one may not bless a union of two homosexual men or of lesbian women <EOS>. 
repetition	<BOS> I don’t know what it will take <EOS> to exorcise the “spirit of Vatican II” – the spirit of aggiornamento – from the Church. 
not_propaganda	President Trump quoted the <BOS> nation’s most prominent conservative radio host as he urged GOP <EOS> senators to get onboard Tuesday: 
not_propaganda	But one goal behind <BOS> report's release, according to an official familiar with its contents, is to make clear that the US is not likely to be open to exemptions of <EOS> any kind. 
causal_oversimplification	<BOS> Trump is in the driver’s seat because the CIA cannot afford to permit the American people to see the records it wants to continue to be kept secret <EOS>. 
flag_waving	These are willing <BOS> to live in the freest country in the world <EOS> as long as it is not them that have to sacrifice to maintain it. 
repetition	“<BOS> I didn’t agree with their ideology,” Khweis said in an interview with Kurdistan24 in 2016. “Our daily life was basically prayer, eating, and learning about the religion for about eight hours <EOS>.” Kweis graduated from Alexandria’s Thomas Edison High School in 2007, where friends described him as “one of the guys.” “He wasn’t someone who was an outcast or something like that — he was one of the guys,” Harrison Weinhold told CBS News in March 2016. 
not_propaganda	It is a <BOS> moving letter, in <EOS> which he has appealed to the prime minister to bring his son home. 
repetition	Orban then called out the traitors in the midst of Europe who want to push Hungary to accept <BOS> Muslim invaders <EOS>. 
not_propaganda	“My expectation is it will probably have <BOS> the same outcome, because the church is the church, and they do it for appearance, but they’re still <EOS> going to go by their own rules,” he said. 
not_propaganda	Democratic governor, <BOS> Republican <EOS> legislature. 
not_propaganda	“The messages cast a <BOS> cloud over <EOS> the FBI investigations to which these employees were assigned,” Horowitz alleged. 
doubt	<BOS> Capitol Police didn’t make arrests despite numerous red flags and then ‘inadvertently’ gave evidence to defense attorneys that was supposed to go to prosecutors <EOS> 
appeal_to_fear_prejudice	The Oakland mayor’s decision to publicize her suspicions about ICE operations <BOS> further increased that risk for my officers and alerted criminal aliens <EOS> — making clear that this reckless decision was based on her political agenda. 
exaggeration,minimisation	It is <BOS> the most serious <EOS> mistake of his presidency and must be corrected – immediately.” 
repetition	Peradventure there be fifty righteous within the city: wilt thou also destroy and not spare the place for the fifty <BOS> righteous <EOS> that are therein? 
not_propaganda	All four <BOS> remain in agency <EOS> custody. 
repetition	Of course, many parents choose homeschooling as a means of <BOS> protecting <EOS> their children from federal education “reforms” such as Common Core. 
not_propaganda	The push for these changes is still on, however, under the <BOS> current General, an Italian, Saverio Cannistrà. <EOS> 
not_propaganda	MEK <BOS> is the Iranian political-militant organization that advocates for the violent overthrow of <EOS> the current Iranian regime. 
not_propaganda	Nah: his tax <BOS> cuts and return to “normalcy” got the American economy, <EOS> and the Twenties, roaring. 
causal_oversimplification	Thus, <BOS> when Oswald was claiming that he was being framed, there could be only one entity that he could have been thinking about: the CIA <EOS>, the agency whose officials, as former Washington Post investigative reporter Jefferson Morley has documented, were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him. 
not_propaganda	Power <BOS> was a senior adviser to <EOS> President Barack Obama. 
flag_waving	Slowly but surely we are beginning to see the truth about the horrific attack come to light despite <BOS> authorities desperately trying to prevent it from reaching the American people <EOS>. 
doubt	<BOS> But Jewish groups on and off campus have denounced the report as flawed, saying it missed the significance of an anti-Semitic text circulated online before Noah Lew was removed from the board last fall <EOS>. 
name_calling,labeling	Irony of ironies, he is now reduced to defending what is old and tired and corrupt against a restoration, led largely by <BOS> a youthful vanguard <EOS>, of what is ever ancient but ever new. 
name_calling,labeling	Apparently, this individual who wrote the article knows nothing of the Black Robed Regiment that <BOS> the tyrant King George <EOS> feared the most. 
not_propaganda	The same administration that was against mandatory minimums for its drug dealers and gang members went to court to defend mandatory minimums under the <BOS> Antiterrorism and Effective <EOS> Death Penalty Act. 
loaded_language	Here is the <BOS> dirty <EOS> secret that is now emerging. 
exaggeration,minimisation	While questioning Kavanaugh, Graham lambasted the confirmation process the judge has been put through, calling it “<BOS> the most unethical sham since I've been in politics <EOS>.” 
not_propaganda	Both Harris and Warren stand accused of breaking fundraising rules <BOS> by sending out fundraising emails asking for <EOS> donations to support their votes against Justice Brett M. Kavanaugh. 
causal_oversimplification	<BOS> Simply put, the 21st century has not been good for non-Hispanic job seekers <EOS>. 
flag_waving	BREAKING NEWS: TRUMP TELLS JEFF SESSIONS TO PUT AN END TO RUSSIA PROBE AS HE CLAIMS <BOS> PROSECUTORS DOING MUELLER’S ‘DIRTY WORK ARE A DISGRACE’ TO AMERICA <EOS> 
not_propaganda	When I was <BOS> the apostolic delegate <EOS> to Pius XII, I was going to Rome every year. 
flag_waving	“It’s time for <BOS> our leaders <EOS> in Washington to follow the lead of America’s mayors and put public safety over NRA priorities.” 
causal_oversimplification	So, <BOS> they dig up some Trump-hating woman from Kavanaugh’s past and convince her to say that he assaulted her thinking that such an allegation will surely delay the vote long enough for them to regain control of Congress <EOS>. 
not_propaganda	“My wife and I were <BOS> in Las Vegas celebrating our 10th anniversary and on October 1st we were involved in an <EOS> incident with an active shooter at the Bellagio. 
causal_oversimplification	I think their strong words and hysteria are <BOS> driven by their own guilt <EOS>. 
not_propaganda	In Wake <BOS> Of Elections, Migrant Caravan <EOS> Resumes March Towards US Border 
not_propaganda	And hours after The Daily <BOS> Caller <EOS> News Foundation asked prosecutors about the disclosure, Awan’s lawyer said he had learned of the forthcoming story from a source on Capitol Hill. 
repetition	<BOS> That is sacrilege <EOS>. 
flag_waving	Do they believe their old agenda of open borders, amnesty, free trade globalism and democracy-crusading can become <BOS> America <EOS>'s agenda again? 
not_propaganda	HANNITY: <BOS> You are so good at your job. <EOS> 
not_propaganda	<BOS> Ask yourself: If someone has just assassinated the president of the United <EOS> States, is he really going to take the time to hide the rifle? 
not_propaganda	Tea With the Curate: The <BOS> Attack on Marriage is an Attack on Christ in <EOS> the Eucharist 
doubt	<BOS> The story was completely false and the Guardian knew it was. It disregarded and left out the denials the subjects of the story had issued before it was published <EOS>. 
loaded_language	She offered no evidence — nor was asked for any — to back her <BOS> grave allegations <EOS>. 
not_propaganda	Will Brett Kavanaugh be confirmed to <BOS> the <EOS> Supreme Court? 
not_propaganda	Western authorities should be pondering <BOS> his <EOS> words, and their implications, very carefully. 
not_propaganda	At the time it didn’t draw much attention from the English language <BOS> press – mostly at that time distracted <EOS> by the ongoing battle of the notorious Kasper Proposal and the oncoming Synods. 
exaggeration,minimisation	The enemies of Francis have declared war.” Notice that for Winters it is not the Church or the integrity of her doctrine and discipline that must be defended against enemies, but only Bergoglio and the regime of novelty he is leading to <BOS> its final extremity <EOS>. 
not_propaganda	“UK ambassador conveys concerns over Trump retweet to White <BOS> House,” by Rowena Mason, Guardian, November <EOS> 30, 2017: 
not_propaganda	Today Corker has nothing to restrain him <BOS> from scuttling <EOS> Trump’s agenda. 
not_propaganda	Should military force be used to stop the caravan of migrants marching toward the <BOS> U.S. <EOS> border? 
not_propaganda	The reform is here, and it is brought about through obedience, to the Council, to <BOS> the bishop, to the priest. <EOS> 
not_propaganda	Authentic autonomy, independence of formation and <BOS> finances, “are essential points of our charism that Our Holy Mother established and to do away with them is to do <EOS> away with the charism.” 
not_propaganda	Articles 54-64 offer an interim measure in the case of “incapacity” that is really <BOS> just more <EOS> of the second thing. 
not_propaganda	Viganò Doubles Down, Accuses <BOS> Francis of Losing Sight <EOS> of Christ 
not_propaganda	The aides named are Imran Awan, his wife Hina Alvi, his <BOS> brothers <EOS> Abid and Jamal, and his friend Rao Abbas, Pakistani-born aides. 
not_propaganda	<BOS> But your actions and words <EOS> too often seem intent on doing the opposite…. 
appeal_to_fear_prejudice	And during the discourse of the Secretary of the Episcopal Conference, [the Secretary] said, “<BOS> in the name of the Declaration of Religious Freedom [of Vatican II], we ask the President to remove this article in the Constitution <EOS>.” 
not_propaganda	However, the totality of the evidence points to <BOS> possible <EOS> immigration fraud and student loan fraud.” What’s more, she swore to apparent falsehoods in court. 
not_propaganda	Email This field is for validation purposes <BOS> and should be left unchanged. <EOS> 
causal_oversimplification	<BOS> These groups of people are simply enemies of the cross of Christ and know not the power of God unto salvation <EOS> (Philippians 3:18). 
not_propaganda	If another attendee says, “He was totally sober and with me <BOS> the <EOS> whole time,” that helps Kavanaugh. 
not_propaganda	<BOS> America's <EOS> Immigration Voice. 
appeal_to_fear_prejudice	Members of the group and advocates say <BOS> they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country <EOS>. 
repetition	<BOS> I have never <EOS> reached out to Assange or WikiLeaks on any matter.” 
exaggeration,minimisation	Trump alleged in a morning tweet series that the former FBI director is “Disgraced and discredited,” claiming <BOS> his staff amounts to nothing more than a “group of Angry Democrat Thugs <EOS>.” 
not_propaganda	So, why the <BOS> April <EOS> deadline? 
not_propaganda	The constellation is best-known for the Andromeda Galaxy, which is one of the most <BOS> famous objects in the sky that can <EOS> be seen with the naked eye. 
not_propaganda	They’re <BOS> neither <EOS> “far-right” nor “Islamophobic”; they’re just factual. 
not_propaganda	You may opt <BOS> out <EOS> at anytime. 
flag_waving	He even told the members of that organization – an organization that has <BOS> killed dozens of Americans <EOS> – that Trump would put them in charge of Iran! 
not_propaganda	“There is no legally permissible way for Mercer County Schools to continue with any type <BOS> of program <EOS> like this.” 
doubt	This means that his use of this language was a conspiratorial wink and nod to his immediate audience, a sly message to say, “People talk all the time about a gay lobby, but you and I both know this is mostly nonsense, propaganda from those people… those conservatives…<BOS> We cool and hip people don’t hate gays, do we?” <EOS> 
not_propaganda	With this in mind one could <BOS> be forgiven for not <EOS> taking his October 30th essay too seriously. 
not_propaganda	In a classic power move, he has just <BOS> given a sop to Cardinal <EOS> Burke, the perceived leader of the opposition, by appointing him to a minor position on the Apostolic Signatura—the same tribunal from which Bergoglio brutally removed him as Prefect. 
not_propaganda	Will none of the hierarchs rise to defend the Church as “a new <BOS> Athanasius, <EOS> a new Basil”? 
not_propaganda	Many people <BOS> came. <EOS> 
name_calling,labeling	Let the thing die of its own excesses, for as the “little synod” [<BOS> the 2002 “pedophile summit <EOS>”] demonstrates, the men who control this establishment will never restore it to anything resembling the vibrant Church that a long line of militant, uncompromising Popes delivered into their hands at Vatican II. 
causal_oversimplification	<BOS> The only answer that comes to mind is that Jesus wants to manifest just how weak is the faith of many within the Church, even among too many of her bishops <EOS>. 
repetition	An improved <BOS> deal won’t destroy <EOS> Iran’s centrifuges. 
not_propaganda	One man died after <BOS> picking up a hand grenade outside a subway station in a suburb <EOS> of Stockholm. 
repetition	“From day one this case was used as a means to foment hate, to foment division and to <BOS> foment <EOS> a program of mass deportation,” added defense attorney Francisco Ugarte. 
loaded_language	But they will also be doing their sacred duty before God in reassuring their <BOS> thoroughly scandalized flocks <EOS> that they are absolutely committed to the defense and enforcement of the Church’s moral teaching at a time when it is under scurrilous attack from within. 
not_propaganda	In retweeting Jayda Fransen’s posts, it is absolutely clear to me <BOS> that President Trump <EOS> is supporting and condoning fascism and far-right activity. 
name_calling,labeling	When he heard that the Council was being convened, then-Cardinal Montini is supposed to have sighed, “This <BOS> holy old boy <EOS> doesn’t realise what a hornet’s nest he’s stirring up.” 
causal_oversimplification	<BOS> That’s why they had shots fired from the front and placed Oswald in the rear <EOS>. 
not_propaganda	<BOS> Why <EOS> indeed. 
appeal_to_fear_prejudice	<BOS> They have yet to come to grips with the fact that “extremism” is and always has been so distressingly widespread in Muslim communities. But they will <EOS>. 
flag_waving	ICE deportation officers carry out targeted enforcement operations daily nationwide as part of the agency’s ongoing efforts to protect the nation, uphold public safety, and <BOS> protect the integrity of our immigration laws and border controls <EOS>. 
not_propaganda	The police harassed the 19 <BOS> would-be victims, including the five elderly brothers and even their lawyer, and charged them with “frivolous” cases, apparently to get them to stop <EOS> trying to get the money they say they were owed, the paper said. 
not_propaganda	Now, many who have seen what took place both in <BOS> the Oregon trials and the Bundy Ranch trials are calling on President <EOS> Donald Trump to issue a pardon for Steve and Dwight Hammond. 
doubt	<BOS> He ignores the fact that some Islamic authorities see this passage as calling for nothing less than unlimited warfare against non-Muslims <EOS>. 
repetition	But the change in the Mass <BOS> destroys the Church <EOS>. 
exaggeration,minimisation	And Farrakhan, by God’s grace, has pulled a cover off of that Satanic Jew, and I’m here to say <BOS> your time is up, your world is through." <EOS> 
appeal_to_fear_prejudice	If you read the preceding verse, you will see that Scripture tells us “<BOS> they that forsake the law praise the wicked <EOS>.” 
not_propaganda	On Friday, the Justice Department unsealed <BOS> an 11-count indictment concerning <EOS> the Uranium One scandal. 
doubt	Yet, making no attempt to refute Viganò’s account on the merits, he tries to wave it all aside with his usual mode of argument—puerile mockery: “But at present, the eagerness of the Greatest Catholics of All Time to believe and repeat everything their itching ears want to hear about this Pope whose living guts they have hated from the moment of his election only tells in his favor, not against it.” Shea’s ever-expanding opus of digital invective never seems to rise above this sort of crude ad hominem attack: Well, <BOS> if those people believe it, it can’t be true <EOS>. 
causal_oversimplification	<BOS> This is clearly a set-up <EOS> (Christine Ford is also a far-left Democrat operative) designed to derail the nomination of a good man. 
not_propaganda	Regarding Bergoglio, Viganò testifies that in 2013 he personally informed him about McCarrick’s history, the dossier of the Congregation <BOS> for Bishops on his sexual crimes against boys and young men, and the disciplinary sanctions imposed upon him by Benedict XVI (forbidding residence <EOS> in a seminary, public appearances and Masses). 
not_propaganda	Archbishop Hebda <BOS> and McCarrick's <EOS> Scandal 
not_propaganda	Dennis Bernstein: We continue our discussion of the case of <BOS> Julian Assange, now in the Ecuadorian embassy in Great Britain. <EOS> 
not_propaganda	(See “I Predict Trump Will Continue the CIA’s JFK Assassination Cover-Up” and “No Smoking Guns in the <BOS> JFK Records?”) <EOS> 
loaded_language	Dr. Epstein’s research found that when negative search terms are suggested for a candidate, it can have <BOS> a dramatic effect <EOS> on voter opinion. 
repetition	The other type is an "ultrasound" <BOS> attack <EOS>, whereby a high frequency noise inaudible to human ears can be targeted easily at potential victims. 
causal_oversimplification	Those “reforms” included abandonment of the Vatican’s strict pre-conciliar instruction (1961) that “advancement to religious vows and ordination should be barred to those who are afflicted with evil tendencies to homosexuality or pederasty, since for them the common life and the priestly ministry would constitute serious dangers.” <BOS> Today, neo-Catholic commentators, cowed by the demands of political correctness, refuse to state the simple truth that homosexuality is a perversion that precludes ordination as does any other grave psychological disorder <EOS>. 
loaded_language	Believing Catholics have <BOS> watched aghast <EOS> as this pope has habitually trampled on every aspect of Catholic teaching. 
not_propaganda	“I think that’s — I think that’s — I think that’s a reasonable thing to do, to give them that opportunity,” Pompeo said, <BOS> “(and then) we’ll all <EOS> get to evaluate the work that they do.” 
not_propaganda	Second, it’s <BOS> simply not going to <EOS> work. 
doubt	There is also a group of people out there that have to be friends with everyone (and have to apologize to any that they may have told the truth lest they should convict them unto godly repentance (2 Corinthians 7:10) as they congregate week after week <BOS> deceiving themselves into believing that they are demanding a lawful change just as long as it does not offend anyone <EOS> (Matthew 5:10). 
doubt	I told her that there are too many counterfeits, self-proclaimed leaders, out there <BOS> who care more about saving face, than they do the souls of men (Luke 19:10), as well as saving their country <EOS>. 
flag_waving	The <BOS> American people <EOS> deserve the truth varied our security was compromised, we import uranium, because we don’t have enough. 
not_propaganda	“This is what intent was, that he would be given <BOS> the <EOS> opportunity to leave under his own steam and not under shackles,” she said. 
not_propaganda	The Left is driving <BOS> more kids <EOS> OUT of public schools 
not_propaganda	Looking carefully at the infamous “Who am I to judge” comment, <BOS> this <EOS> was clear early on. 
appeal_to_fear_prejudice	<BOS> If Julian is allowed to be spirited away to some super-max hellhole, it will be a great atrocity <EOS>. 
appeal_to_fear_prejudice	Since Oct. 1, 2009, <BOS> ERO has removed more than 1,700 foreign fugitives from the United States who were sought in their native countries for serious crimes, including kidnapping, rape and murder <EOS>. 
exaggeration,minimisation	Whether or not justice involves the resignation of <BOS> the most wayward Pope in Church history <EOS>, the inevitable season of justice will culminate in the triumph of the Immaculate Heart of Mary and the Church’s restoration. 
not_propaganda	“Consistent with their stated desires to obstruct Kavanaugh's <BOS> nomination” by any <EOS> means possible, “pushed for FBI investigations into the allegations.” 
name_calling,labeling	ICE had already called out Oakland's <BOS> radical leftist boss <EOS> for helping criminals and endangering ICE personnel by tipping them off that a raid was coming. 
name_calling,labeling	For fifty years Catholics have wanted to know why nothing was ever done, as these <BOS> wolves in the episcopate <EOS> were allowed, year after year to continue attacking the Church. 
not_propaganda	The distinction between the illegal aliens who benefited from Obama's illegal amnesty and other illegals has always been a matter <BOS> of rhetoric, not <EOS> substance. 
name_calling,labeling	Over and over again, you can see that the Church was to stand in protest against the wicked that were at war with Christ (Revelation 12:17), in dealing with not only <BOS> the corrupt and wicked priests <EOS>, but also the corrupt and wicked in government. 
causal_oversimplification	<BOS> Donald Trump won the presidency on a promise of no more unnecessary wars <EOS>. 
not_propaganda	<BOS> Tlaib’s unitary <EOS> state would be no different. 
flag_waving	<BOS> I hope the American people can see through this sham, that you knew about it and you held it <EOS>." 
not_propaganda	As the Senate has requested, this update must be limited in scope and completed in less than <BOS> one week,” the <EOS> president said in a statement. 
not_propaganda	“I have tried to stay objective, but I ask that you please give <BOS> us some time to pause and reflect,” Murillo <EOS> wrote. 
not_propaganda	3 – <BOS> Powell’s Goldman Sachs fund directly donated to the controversial Clinton <EOS> Foundation. 
